geometry,zone_id
"POLYGON ((7.671655224391226 45.0741383527158, 7.678015597562028 45.0741383527158, 7.678015597562028 45.06964175089718, 7.671655224391226 45.06964175089718, 7.671655224391226 45.0741383527158))",600
"POLYGON ((7.678015597562028 45.06514514907855, 7.684375970732829 45.06514514907855, 7.684375970732829 45.06064854725993, 7.678015597562028 45.06064854725993, 7.678015597562028 45.06514514907855))",643
"POLYGON ((7.671655224391226 45.06964175089718, 7.678015597562028 45.06964175089718, 7.678015597562028 45.06514514907855, 7.671655224391226 45.06514514907855, 7.671655224391226 45.06964175089718))",601
"POLYGON ((7.665294851220424 45.07863495453442, 7.671655224391226 45.07863495453442, 7.671655224391226 45.0741383527158, 7.665294851220424 45.0741383527158, 7.665294851220424 45.07863495453442))",558
"POLYGON ((7.665294851220424 45.0741383527158, 7.671655224391226 45.0741383527158, 7.671655224391226 45.06964175089718, 7.665294851220424 45.06964175089718, 7.665294851220424 45.0741383527158))",559
"POLYGON ((7.658934478049622 45.06964175089718, 7.665294851220424 45.06964175089718, 7.665294851220424 45.06514514907855, 7.658934478049622 45.06514514907855, 7.658934478049622 45.06964175089718))",519
"POLYGON ((7.665294851220424 45.06964175089718, 7.671655224391226 45.06964175089718, 7.671655224391226 45.06514514907855, 7.665294851220424 45.06514514907855, 7.665294851220424 45.06964175089718))",560
"POLYGON ((7.671655224391226 45.06514514907855, 7.678015597562028 45.06514514907855, 7.678015597562028 45.06064854725993, 7.671655224391226 45.06064854725993, 7.671655224391226 45.06514514907855))",602
"POLYGON ((7.671655224391226 45.07863495453442, 7.678015597562028 45.07863495453442, 7.678015597562028 45.0741383527158, 7.671655224391226 45.0741383527158, 7.671655224391226 45.07863495453442))",599
"POLYGON ((7.658934478049622 45.06064854725993, 7.665294851220424 45.06064854725993, 7.665294851220424 45.05615194544131, 7.658934478049622 45.05615194544131, 7.658934478049622 45.06064854725993))",521
"POLYGON ((7.684375970732829 45.06964175089718, 7.690736343903631 45.06964175089718, 7.690736343903631 45.06514514907855, 7.684375970732829 45.06514514907855, 7.684375970732829 45.06964175089718))",683
"POLYGON ((7.652574104878821 45.05615194544131, 7.658934478049622 45.05615194544131, 7.658934478049622 45.05165534362268, 7.652574104878821 45.05165534362268, 7.652574104878821 45.05615194544131))",481
"POLYGON ((7.639853358537217 45.19105, 7.646213731708019 45.19105, 7.646213731708019 45.18655339818137, 7.639853358537217 45.18655339818137, 7.639853358537217 45.19105))",369
"POLYGON ((7.690736343903631 45.06964175089718, 7.697096717074433 45.06964175089718, 7.697096717074433 45.06514514907855, 7.690736343903631 45.06514514907855, 7.690736343903631 45.06964175089718))",724
"POLYGON ((7.684375970732829 45.06514514907855, 7.690736343903631 45.06514514907855, 7.690736343903631 45.06064854725993, 7.684375970732829 45.06064854725993, 7.684375970732829 45.06514514907855))",684
"POLYGON ((7.678015597562028 45.06064854725993, 7.684375970732829 45.06064854725993, 7.684375970732829 45.05615194544131, 7.678015597562028 45.05615194544131, 7.678015597562028 45.06064854725993))",644
"POLYGON ((7.690736343903631 45.0741383527158, 7.697096717074433 45.0741383527158, 7.697096717074433 45.06964175089718, 7.690736343903631 45.06964175089718, 7.690736343903631 45.0741383527158))",723
"POLYGON ((7.690736343903631 45.06514514907855, 7.697096717074433 45.06514514907855, 7.697096717074433 45.06064854725993, 7.690736343903631 45.06064854725993, 7.690736343903631 45.06514514907855))",725
"POLYGON ((7.678015597562028 45.05615194544131, 7.684375970732829 45.05615194544131, 7.684375970732829 45.05165534362268, 7.678015597562028 45.05165534362268, 7.678015597562028 45.05615194544131))",645
"POLYGON ((7.646213731708019 45.06514514907855, 7.652574104878821 45.06514514907855, 7.652574104878821 45.06064854725993, 7.646213731708019 45.06064854725993, 7.646213731708019 45.06514514907855))",438
"POLYGON ((7.658934478049622 45.05615194544131, 7.665294851220424 45.05615194544131, 7.665294851220424 45.05165534362268, 7.658934478049622 45.05165534362268, 7.658934478049622 45.05615194544131))",522
"POLYGON ((7.658934478049622 45.06514514907855, 7.665294851220424 45.06514514907855, 7.665294851220424 45.06064854725993, 7.658934478049622 45.06064854725993, 7.658934478049622 45.06514514907855))",520
"POLYGON ((7.665294851220424 45.06064854725993, 7.671655224391226 45.06064854725993, 7.671655224391226 45.05615194544131, 7.665294851220424 45.05615194544131, 7.665294851220424 45.06064854725993))",562
"POLYGON ((7.652574104878821 45.06964175089718, 7.658934478049622 45.06964175089718, 7.658934478049622 45.06514514907855, 7.652574104878821 45.06514514907855, 7.652574104878821 45.06964175089718))",478
"POLYGON ((7.658934478049622 45.0741383527158, 7.665294851220424 45.0741383527158, 7.665294851220424 45.06964175089718, 7.658934478049622 45.06964175089718, 7.658934478049622 45.0741383527158))",518
"POLYGON ((7.671655224391226 45.05165534362268, 7.678015597562028 45.05165534362268, 7.678015597562028 45.04715874180406, 7.671655224391226 45.04715874180406, 7.671655224391226 45.05165534362268))",605
"POLYGON ((7.665294851220424 45.05615194544131, 7.671655224391226 45.05615194544131, 7.671655224391226 45.05165534362268, 7.665294851220424 45.05165534362268, 7.665294851220424 45.05615194544131))",563
"POLYGON ((7.652574104878821 45.06514514907855, 7.658934478049622 45.06514514907855, 7.658934478049622 45.06064854725993, 7.652574104878821 45.06064854725993, 7.652574104878821 45.06514514907855))",479
"POLYGON ((7.678015597562028 45.07863495453442, 7.684375970732829 45.07863495453442, 7.684375970732829 45.0741383527158, 7.678015597562028 45.0741383527158, 7.678015597562028 45.07863495453442))",640
"POLYGON ((7.658934478049622 45.07863495453442, 7.665294851220424 45.07863495453442, 7.665294851220424 45.0741383527158, 7.658934478049622 45.0741383527158, 7.658934478049622 45.07863495453442))",517
"POLYGON ((7.671655224391226 45.06064854725993, 7.678015597562028 45.06064854725993, 7.678015597562028 45.05615194544131, 7.671655224391226 45.05615194544131, 7.671655224391226 45.06064854725993))",603
"POLYGON ((7.671655224391226 45.04715874180406, 7.678015597562028 45.04715874180406, 7.678015597562028 45.04266213998544, 7.671655224391226 45.04266213998544, 7.671655224391226 45.04715874180406))",606
"POLYGON ((7.697096717074433 45.06514514907855, 7.703457090245235 45.06514514907855, 7.703457090245235 45.06064854725993, 7.697096717074433 45.06064854725993, 7.697096717074433 45.06514514907855))",766
"POLYGON ((7.652574104878821 45.06064854725993, 7.658934478049622 45.06064854725993, 7.658934478049622 45.05615194544131, 7.652574104878821 45.05615194544131, 7.652574104878821 45.06064854725993))",480
"POLYGON ((7.678015597562028 45.05165534362268, 7.684375970732829 45.05165534362268, 7.684375970732829 45.04715874180406, 7.678015597562028 45.04715874180406, 7.678015597562028 45.05165534362268))",646
